epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,1492.48,0.90913,0.07202,0.05271,0.44886,1.10597,0.97673,0.98399,0.97802,0.57518,0.98198,0.9862,0.98535,0.9833,1.49484,0.06002,0.00184,0.4756,1.5779,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
44,1526.52,0.90237,0.07125,0.05492,0.45261,1.10358,0.97573,0.98399,0.97963,0.59139,0.97921,0.98747,0.98385,0.98255,1.48539,0.05612,0.00175,0.47746,1.58957,0.0042972,0.0014324,0.0042972,0.0014324,0.0042972,0.0014324,0.0042972,0.0014324
45,1560.18,0.8928,0.07723,0.05183,0.44798,1.09811,0.97424,0.98399,0.98255,0.58328,0.98187,0.99165,0.98753,0.98646,1.49363,0.05634,0.00154,0.47585,1.59198,0.0042576,0.0014192,0.0042576,0.0014192,0.0042576,0.0014192,0.0042576,0.0014192
46,1594.45,0.86887,0.07005,0.0534,0.43827,1.08383,0.97604,0.98121,0.97979,0.58275,0.9814,0.99133,0.98691,0.98533,1.49369,0.05292,0.00171,0.47668,1.616,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
47,1628.47,0.88387,0.07037,0.05578,0.44054,1.09508,0.97672,0.98121,0.98097,0.57353,0.97995,0.9865,0.98707,0.98511,1.51212,0.05685,0.00173,0.47518,1.61463,0.0041784,0.0013928,0.0041784,0.0013928,0.0041784,0.0013928,0.0041784,0.0013928
48,1662.76,0.86431,0.06965,0.05494,0.43222,1.08196,0.97229,0.98121,0.97843,0.58208,0.97987,0.98887,0.98562,0.9834,1.50118,0.05434,0.00167,0.48166,1.61807,0.0041388,0.0013796,0.0041388,0.0013796,0.0041388,0.0013796,0.0041388,0.0013796
49,1696.6,0.85614,0.0727,0.05209,0.4295,1.0749,0.97633,0.9826,0.97997,0.58477,0.98193,0.99026,0.98614,0.98514,1.49801,0.05408,0.00158,0.47697,1.61724,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
50,1730.36,0.84381,0.06766,0.05317,0.42823,1.07077,0.97113,0.98316,0.97954,0.57925,0.98007,0.9922,0.98733,0.98573,1.48722,0.05489,0.00138,0.47965,1.60866,0.0040596,0.0013532,0.0040596,0.0013532,0.0040596,0.0013532,0.0040596,0.0013532
51,1764.57,0.85159,0.07391,0.05623,0.43144,1.07776,0.97237,0.97977,0.97997,0.58003,0.98132,0.98956,0.98724,0.98559,1.49375,0.05687,0.00183,0.47611,1.6444,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134
52,1798.63,0.85135,0.07305,0.05414,0.43309,1.077,0.97708,0.98539,0.98096,0.5805,0.98001,0.9895,0.98524,0.98312,1.49202,0.05517,0.00148,0.47767,1.62687,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
