epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,899.003,0.97858,0.08522,0.05982,0.50845,1.15771,0.95512,0.97255,0.97095,0.52676,0.96146,0.98682,0.98125,0.97521,1.66128,0.08405,0.00235,0.54761,1.58837,0.0013796,0.0013796,0.0013796
49,917.67,0.97046,0.08491,0.05983,0.50162,1.14484,0.9464,0.9754,0.96397,0.51766,0.96011,0.98946,0.97824,0.97285,1.68718,0.08864,0.00212,0.56032,1.61611,0.0013664,0.0013664,0.0013664
50,936.3,0.96433,0.08781,0.06271,0.50194,1.14338,0.95259,0.97104,0.96642,0.50382,0.95731,0.98515,0.97871,0.97145,1.68543,0.0865,0.0018,0.562,1.64188,0.0013532,0.0013532,0.0013532
51,954.973,0.94117,0.08658,0.06135,0.49536,1.12963,0.95504,0.97979,0.97177,0.53696,0.95868,0.98858,0.97865,0.97286,1.62681,0.09008,0.00191,0.55505,1.58754,0.00134,0.00134,0.00134
52,973.667,0.94581,0.08445,0.05676,0.49861,1.13645,0.94857,0.97246,0.96177,0.48133,0.9565,0.98544,0.97644,0.97015,1.71894,0.08744,0.00191,0.56376,1.66339,0.0013268,0.0013268,0.0013268
53,992.363,0.92792,0.08565,0.05898,0.48647,1.1243,0.9508,0.96792,0.96489,0.50978,0.96116,0.97846,0.97958,0.97383,1.66883,0.09243,0.00163,0.55473,1.60911,0.0013136,0.0013136,0.0013136
54,1011.01,0.92845,0.08736,0.06522,0.48637,1.1228,0.95357,0.97447,0.97012,0.51967,0.95482,0.98424,0.97881,0.97446,1.67895,0.08576,0.00216,0.55895,1.63685,0.0013004,0.0013004,0.0013004
55,1029.71,0.92261,0.08131,0.05734,0.48268,1.12312,0.95041,0.97276,0.97064,0.53513,0.95885,0.97979,0.98144,0.97429,1.61188,0.08141,0.00257,0.54901,1.58347,0.0012872,0.0012872,0.0012872
56,1048.41,0.90973,0.08355,0.06058,0.4777,1.11137,0.94712,0.97012,0.96328,0.52538,0.95813,0.98541,0.97975,0.97481,1.66091,0.08469,0.00192,0.54579,1.61038,0.001274,0.001274,0.001274
57,1067.08,0.89652,0.08137,0.05672,0.48001,1.10528,0.94924,0.96661,0.96848,0.51413,0.95326,0.98506,0.97887,0.97417,1.67313,0.09403,0.00207,0.56037,1.63857,0.0012608,0.0012608,0.0012608
58,1085.74,0.87258,0.07405,0.05533,0.46461,1.09401,0.95108,0.96661,0.96187,0.48966,0.96096,0.97979,0.97885,0.97081,1.75828,0.09456,0.00184,0.58322,1.73567,0.0012476,0.0012476,0.0012476
59,1105.28,0.87171,0.07963,0.05687,0.47156,1.09281,0.95278,0.97512,0.97042,0.54642,0.9571,0.98018,0.97999,0.97475,1.59792,0.08289,0.0021,0.54458,1.57358,0.0012344,0.0012344,0.0012344
60,1123.95,0.86172,0.07775,0.05808,0.46195,1.08737,0.9542,0.96749,0.96619,0.4893,0.96546,0.97891,0.98202,0.97594,1.76588,0.08826,0.00244,0.57079,1.74993,0.0012212,0.0012212,0.0012212
61,1142.64,0.87522,0.07488,0.05568,0.46319,1.0886,0.9551,0.97627,0.96952,0.52751,0.96378,0.98215,0.97873,0.97318,1.64427,0.08594,0.00149,0.54859,1.63742,0.001208,0.001208,0.001208
62,1161.27,0.87947,0.08012,0.05889,0.47266,1.09709,0.94717,0.97685,0.96669,0.49841,0.95472,0.9833,0.98102,0.97398,1.71023,0.09081,0.00278,0.57398,1.69286,0.0011948,0.0011948,0.0011948
